日期,预测开盘价(元),预测收盘价(元)
2025-06-01,9.539761,9.609579
2025-06-02,9.570779,9.666139
2025-06-03,9.801662,10.013661
2025-06-04,10.032446,10.265596
2025-06-05,10.13947,10.459298
2025-06-06,10.276523,10.37753
2025-06-07,9.791103,9.828341
2025-06-08,9.772525,9.794047
2025-06-09,10.360726,10.546115
2025-06-10,10.589254,10.492572
2025-06-11,10.354137,10.233358
2025-06-12,10.2943735,10.199187
2025-06-13,10.181545,10.127488
2025-06-14,9.901772,9.942705
2025-06-15,9.735563,9.654897
2025-06-16,9.6454,9.589269
2025-06-17,10.053547,10.048263
2025-06-18,9.91921,9.817535
2025-06-19,9.618389,9.596081
2025-06-20,9.691847,10.0121975
2025-06-21,9.765742,10.374981
2025-06-22,9.891708,9.858291
2025-06-23,9.950749,9.750073
2025-06-24,10.450828,10.783821
2025-06-25,10.602372,10.711684
2025-06-26,10.272023,10.352898
2025-06-27,10.38322,10.352675
2025-06-28,10.326398,10.213416
2025-06-29,10.124532,10.078804
2025-06-30,10.247665,10.228094
