日期,来源,类别,关键词,标题,摘要,链接
2026-09-20 22:31:00,东方财富·证券时报网,行业,医药,上海国投公司投资生物医药领域金额超300亿元 投早投小比例约70%,在近日举行的上海国投生物医药产业生态大会上，上海国投公司副总裁陆雯表示，作为聚焦三大先导产业和未来产业投资布局的国有资本投资运营平台，上海国投公司在生物医药领域通过股权直投和子基金布局，投资金额超300亿元，投早投小比例约70%。,http://finance.eastmoney.com/a/202609203879461562.html
2026-09-20 22:23:00,东方财富·科创板日报,行业,医药,200亿元湖北社保科创基金正式投入运营，三只子基金全部落地,其投资方向覆盖新一代信息技术、生物医药、新材料、新能源、智能制造、汽车零部件等战略性新兴产业。 　　武汉江城科创基金的GP之一湖北国芯产业投资管理，则有较强的集成电路产业背景。据悉，湖北国芯是长存基金的管理机构之一，相关基金重点布局存储产业链。,http://finance.eastmoney.com/a/202609203879461476.html
2026-09-20 22:20:20,东方财富·深圳商报·读创,行业,医药,健友股份上半年净利降超三成 业绩说明会上库存情况、扩建产线、股价走弱等话题被追问,其次，我们持续关注股价表现，理解市场逻辑，也期待认同公司、热爱医药行业、看好中国药企发展的股东，与公司携手前行。 　　有投资者关心：公司原料药业务是主动收缩还是被动退出呢？如果有不错的现金流，以及盈利，保留一定的原料药也是不错选择吧。,http://finance.eastmoney.com/a/202609203879459776.html
2026-09-20 22:19:40,东方财富·证券时报,行业,医药,明日上午 重要发布会！,《规划》提出，到2030年，生物医药研发应用稳居世界前列，创新驱动效能充分释放，重点领域关键核心技术实现系统性突破，生物医药产业加速成为国家新兴支柱产业。,http://finance.eastmoney.com/a/202609203879461717.html
2026-09-20 22:11:30,东方财富·上观新闻,行业,医药,中国创新药对外授权已占半壁江山 全球资本开始抢订上海早期药,资本是最诚实的，上海生物医药产业的早期项目，成了被全球资本抢购的“果园”。 　　本届张江药谷大会暨上海国际生物医药产业周上，和黄医药成为被反复提起的案例。9月3日，和黄医药把尚处临床前的平台项目授权给葛兰素史克，拿下1.1亿美元首付款，后续里程碑款最高可达12.95亿美元。,http://finance.eastmoney.com/a/202609203879457350.html
2026-09-20 21:58:59,东方财富·新华财经,行业,医药,【财经分析】科创债ETF持续吸金 信用债“新赛道”配置窗口开启,就产品设计来看，科创债ETF跟踪的指数主要筛选符合国家科创认定标准企业发行的债券，发行人覆盖高端装备、生物医药、新一代信息技术、新材料等硬科技赛道，以央企、地方重点科创国企等高等级主体为主，在信用债品类中具备鲜明的主题属性。,http://bond.eastmoney.com/a/202609203879455281.html
2026-09-20 21:36:57,东方财富·新华财经,行业,医药,公募打新获配超338亿元 电子行业个股占比过半,此外，公募机构还参与到公用事业、电力设备、国防军工、医药生物和汽车行业个股的网下打新，相关获配金额均不低于11亿元。 　　从机构层面看，头部公募打新的积极性尤为突出。41家公募机构今年以来的打新获配金额均不低于1亿元，其中10家超过10亿元。,http://finance.eastmoney.com/a/202609203879447476.html
2026-09-20 21:26:17,东方财富·新华财经,行业,医药,生物医药创新成果兑现  资本市场韧性凸显,生物医药行业的市场表现，构成观察资本市场韧性的一个具体切面。 　　政策与资本协同夯实医药创新底座 　　国内医药产业正迎来政策持续加持的发展机遇。9月18日，工信部、国家发改委等十部门联合印发《医药工业发展“十五五”规划》。,http://finance.eastmoney.com/a/202609203879444443.html
2026-09-20 21:14:29,东方财富·上观新闻,行业,医药,北京加速打造世界级生物医药产业集群，12个医药健康产业重点项目公布,作为北京医药健康产业的重要承载区，北京亦庄已集聚医药健康相关企业近5500家，覆盖创新药、细胞与基因治疗、新型疫苗、高端医疗装备和第三方服务平台等产业链环节。此次落地北京亦庄的重点项目涉及创新药、高端医疗器械和医药服务等多个方向。,http://finance.eastmoney.com/a/202609203879442714.html
2026-09-20 21:11:00,东方财富·券商中国,行业,医药,周末，利好来了！北京，重磅发文,完善知识产权协同保护体系，加强前沿技术领域知识产权保护，畅通侵权纠纷行政裁决绿色通道，提升人工智能、生物医药等领域海外知识产权维权能力。 　　深入破除市场准入壁垒，严格落实市场准入负面清单管理制度，完善市场准入效能评估体系。,http://finance.eastmoney.com/a/202609203879443712.html
2026-09-20 20:56:25,东方财富·新华财经,行业,医药,一周要闻丨全球市场本周回顾与下周展望,·市场要闻 　　·国务院总理李强9月18日主持召开国务院常务会议，听取老龄工作情况汇报，研究推动体育赛事健康发展有关工作，部署实施医疗康复护理扩容提升工程，审议通过《中医药传统知识保护条例（草案）》，讨论《〈中华人民共和国突发事件应对法〉等15部法律的修正案（草案）》。,http://finance.eastmoney.com/a/202609203879450545.html
2026-09-20 20:47:00,东方财富·21世纪经济报道,行业,医药,药捷安康的“窄门”：一款后线药，能否撑起一家药企的野心？,9月18日，十部门联合印发《医药工业发展“十五五”规划》，明确提出到2030年创新药产业规模年均增速不低于20%，首创新药（FIC，First-In-Class）占全球比例不低于25%，并培育5个全球年销售额超10亿美元的重磅品种。,http://finance.eastmoney.com/a/202609203879439734.html
2026-09-20 20:35:19,东方财富·经济参考网,行业,医药,力箭一号遥十八运载火箭圆满完成“一箭9星”发射,中科宇航表示，将继续携手AI、生物医药等多领域伙伴，以大运力、高密度、航班化的发射服务，为空天算力等新兴产业基础设施建设提供坚实支撑。,http://finance.eastmoney.com/a/202609203879454764.html
2026-09-20 20:34:17,东方财富·财联社,行业,医药,一周六箭！政策利好密集释放，商业航天迈向高密度发射新阶段,力箭一号运载火箭副总师孙良杰表示，中科宇航将继续携手AI、生物医药等多领域伙伴，探索商业航天与新兴产业融合的更多可能，以大运力、高密度、航班化的发射服务，为空天算力等新兴产业基础设施建设提供坚实支撑。,http://finance.eastmoney.com/a/202609203879436364.html
2026-09-20 20:19:08,东方财富·上海证券报·中国证券网,行业,医药,广州南沙湾区创新港·全球青年人才创新创业基地揭牌,基地聚焦人工智能、生物医药与生命健康、新材料与先进复合材料、数字创意与游戏动漫等前沿赛道，面向境内外高校学生、初创硬科技项目开放。运营上，基地提供精装拎包入驻办公空间，配套共享会议室、路演厅和空中花园；给予专项算力支持；提供从启动资金、大赛落地奖励到融资奖励的全周期资金助力。,http://finance.eastmoney.com/a/202609203879441966.html
2026-09-20 20:15:17,东方财富·财联社,行业,医药,订单热、营收温、利润冷，CXO行业的“三级温差”还要持续多久？,“目前，国内新药研发保持高热度，小核酸、大环肽、XDC、自免、CNS等领域持续活跃，这与睿智医药相关技术积累和服务能力的匹配度较高。”睿智医药亦如此对财联社记者透露。 　　药明康德管理层也观察到了类似变化。,http://finance.eastmoney.com/a/202609203879432789.html
2026-09-20 20:10:23,东方财富·每日经济新闻,行业,医药,京新药业A股上市超20年后二度冲刺港交所，曾因研发费用列支不当等问题遭税务部门处罚,此外，医药行业的研发费用及销售费用归集一直受到外界重点关注。招股书显示，报告期内，京新药业保持了相对较高水平的费用支出，公司的研发成本（主要由员工薪酬、物料测试及水电开支、临床试验开支构成）分别为4.01亿元、3.83亿元、3.68亿元及1.65亿元。,http://finance.eastmoney.com/a/202609203879432322.html
2026-09-20 20:06:26,东方财富·第一财经,行业,医药,“带病体”保险研发进入新阶段，上海这一年做了什么,一年前，上海市金融监管局、市医保局、市卫健委等7部门发布的《关于促进商业健康保险高质量发展助力生物医药产业创新的若干措施》提出，升级卫生健康数据共享功能。,http://insurance.eastmoney.com/a/202609203879435667.html
2026-09-20 20:02:44,东方财富·财联社,行业,医药,创新药BD繁荣背后：里程碑付款兑现几何？“交卷能力”决定下一轮分化,上海生物医药基金合伙人、上海生物医药创新转化基金总裁郭秋杉在会上发表演讲，并接受财联社记者采访，他认为中国生物医药产业正处于分化、重组与竞速的关键阶段。 　　BD交易关注点变化下个十年怎么走？,http://finance.eastmoney.com/a/202609203879436273.html
2026-09-20 20:01:00,东方财富·财联社,行业,医药,积极把握年内最后的进攻窗口？十大券商策略来了,配置上建议优先关注三季报高景气的AI产业链，以及非AI领域的细分α（医药、航运、船舶、出口链个别环节等）。对于红利板块，目前仍有胜率但赔率不如630了，当前位置的配置性价比有所收敛。,http://finance.eastmoney.com/a/202609203879436177.html
2026-09-20 19:56:54,东方财富·中国证券报·中证金牛座,行业,医药,公募逾338亿元参与59只新股打新，聚焦电子等科技方向,另外，公募参与机械设备、公用事业、电力设备、国防军工、医药生物和汽车行业个股网下打新获配金额也位居前列。,http://finance.eastmoney.com/a/202609203879433119.html
2026-09-20 19:52:32,东方财富·每日经济新闻,行业,医药,“创投大佬”龚虹嘉收警示函背后：中源协和华东总部已退租，“只投大健康”胜算几何？,最近十多年，龚虹嘉的投资视线转向生物医药。2015年前后，他通过旗下嘉道功程基金，天使投资肿瘤基因检测企业泛生子。这是他在医药领域可查的较早的出手。 　　两年后，龚虹嘉与A股上市公司中源协和开始产生交集。,http://finance.eastmoney.com/a/202609203879429760.html
2026-09-20 19:51:00,东方财富·南方都市报,行业,医药,蓝芩喉糖商标被质疑易误会指代原料续：监管部门已介入核查,对于蓝芩喉糖被质疑“虚假宣传”的情况，9月20日，泰州医药高新技术产业开发区（泰州市高港区）市场监督管理局方面向南都记者表示，“现正在依法开展线索核查工作。”,http://biz.eastmoney.com/a/202609203879456081.html
2026-09-20 19:43:23,东方财富·上海证券报·中国证券网,行业,医药,楚天科技入选全国首批国家新兴产业发展示范基地企业,据介绍，楚天科技聚焦生物医药高端制造装备，是生物制造装备领域标杆企业，可提供制药工艺装备一体化整体解决方案，围绕制药生产全流程推动装备智能化、自动化升级，搭建完备研发创新体系，持续开展关键工艺与装备技术攻关，助力我国生物医药产业链国产化进程，公司同时坚持产学研联动，紧跟生物医药行业发展趋势迭代产品,http://finance.eastmoney.com/a/202609203879427412.html
2026-09-20 19:43:00,东方财富·南方财经网,行业,医药,通用技术中国医药与北京清华长庚医院签署合作备忘录,南方财经9月20日电，9月18日，通用技术中国医药与清华大学附属北京清华长庚医院举行合作备忘录签约仪式。双方立足昌平区区域医疗布局与医院发展规划，聚焦医工成果转化、智慧医院建设、AI赋能医疗体系等合作方向。,http://biz.eastmoney.com/a/202609203879428992.html
2026-09-20 19:38:38,东方财富·21世纪经济报道,行业,医药,1100亿美元出海潮下，跨国药企竞逐慢病与罕见病赛道,从石药集团185亿美元的“天价”平台合作，到恒瑞医药高达152亿美元的共同开发协议，中国创新药正以前所未有的速度嵌入全球医药价值链。当BD交易从“卖权益”走向“建生态”，一个更深层的转变正在发生：跨国药企与中国本土创新的关系，已从简单的产品引进升级为科学能力的双向赋能。,http://finance.eastmoney.com/a/202609203879427986.html
