日期,代码,简称,开盘价(元),收盘价(元),成交金额(元)
2024-06-01,002826,易明医药,,,
2024-06-02,002826,易明医药,,,
2024-06-03,002826,易明医药,8.92,8.72,41225039.0
2024-06-04,002826,易明医药,8.72,8.5,40571144.2
2024-06-05,002826,易明医药,8.47,8.21,31175909.0
2024-06-06,002826,易明医药,8.3,7.84,71980325.0
2024-06-07,002826,易明医药,7.95,8.35,51605177.0
2024-06-08,002826,易明医药,,,
2024-06-09,002826,易明医药,,,
2024-06-10,002826,易明医药,,,
2024-06-11,002826,易明医药,8.43,8.13,39387251.5
2024-06-12,002826,易明医药,8.12,8.37,25703749.0
2024-06-13,002826,易明医药,8.39,8.25,24782665.0
2024-06-14,002826,易明医药,8.25,8.17,25414729.0
2024-06-15,002826,易明医药,,,
2024-06-16,002826,易明医药,,,
2024-06-17,002826,易明医药,8.17,7.96,24213556.0
2024-06-18,002826,易明医药,8.0,8.05,22359186.0
2024-06-19,002826,易明医药,8.13,8.09,26680790.0
2024-06-20,002826,易明医药,8.05,7.82,32245236.0
2024-06-21,002826,易明医药,7.88,7.9,18022733.0
2024-06-22,002826,易明医药,,,
2024-06-23,002826,易明医药,,,
2024-06-24,002826,易明医药,7.85,7.5,31987424.73
2024-06-25,002826,易明医药,7.5,7.61,20974462.0
2024-06-26,002826,易明医药,7.52,7.9,21695864.26
2024-06-27,002826,易明医药,7.87,7.84,21094007.08
2024-06-28,002826,易明医药,7.88,7.93,22907716.0
2024-06-29,002826,易明医药,,,
2024-06-30,002826,易明医药,,,
2024-07-01,002826,易明医药,7.88,8.02,22630622.0
2024-07-02,002826,易明医药,8.02,8.14,23068286.0
2024-07-03,002826,易明医药,8.14,8.04,16060887.0
2024-07-04,002826,易明医药,8.04,7.65,23300668.0
2024-07-05,002826,易明医药,7.64,7.98,30268136.0
2024-07-06,002826,易明医药,,,
2024-07-07,002826,易明医药,,,
2024-07-08,002826,易明医药,7.98,7.76,28340857.0
2024-07-09,002826,易明医药,7.79,7.82,28278180.0
2024-07-10,002826,易明医药,7.81,7.71,19375061.0
2024-07-11,002826,易明医药,7.82,8.06,30793714.0
2024-07-12,002826,易明医药,8.06,8.1,26060433.0
2024-07-13,002826,易明医药,,,
2024-07-14,002826,易明医药,,,
2024-07-15,002826,易明医药,8.28,7.81,58442905.29
2024-07-16,002826,易明医药,7.87,7.78,27833395.0
2024-07-17,002826,易明医药,7.73,7.87,50912932.0
2024-07-18,002826,易明医药,7.83,8.01,40407154.0
2024-07-19,002826,易明医药,8.01,8.03,35034169.0
2024-07-20,002826,易明医药,,,
2024-07-21,002826,易明医药,,,
2024-07-22,002826,易明医药,8.03,8.26,42051136.0
2024-07-23,002826,易明医药,8.25,8.13,29492448.0
2024-07-24,002826,易明医药,8.07,7.99,23356189.0
2024-07-25,002826,易明医药,7.98,8.02,21847276.02
2024-07-26,002826,易明医药,8.03,8.18,25334417.03
2024-07-27,002826,易明医药,,,
2024-07-28,002826,易明医药,,,
2024-07-29,002826,易明医药,8.19,8.14,20800924.0
2024-07-30,002826,易明医药,8.13,8.06,29769289.0
2024-07-31,002826,易明医药,8.0,8.27,46687257.0
2024-08-01,002826,易明医药,8.27,8.42,41594142.0
2024-08-02,002826,易明医药,8.41,8.46,55247493.0
2024-08-03,002826,易明医药,,,
2024-08-04,002826,易明医药,,,
2024-08-05,002826,易明医药,8.45,8.25,47938939.0
2024-08-06,002826,易明医药,8.3,8.62,82366342.07
2024-08-07,002826,易明医药,8.6,8.54,46447899.28
2024-08-08,002826,易明医药,8.51,8.52,46957994.19
2024-08-09,002826,易明医药,8.6,8.45,34936727.0
2024-08-10,002826,易明医药,,,
2024-08-11,002826,易明医药,,,
2024-08-12,002826,易明医药,8.41,8.61,41728659.48
2024-08-13,002826,易明医药,8.59,8.71,42733290.0
2024-08-14,002826,易明医药,8.66,8.58,30350452.35
2024-08-15,002826,易明医药,8.53,8.59,30620226.0
2024-08-16,002826,易明医药,8.56,8.54,39440937.0
2024-08-17,002826,易明医药,,,
2024-08-18,002826,易明医药,,,
2024-08-19,002826,易明医药,8.47,8.29,44046111.0
2024-08-20,002826,易明医药,8.33,8.04,37034421.68
2024-08-21,002826,易明医药,8.0,8.02,22580971.0
2024-08-22,002826,易明医药,8.02,7.88,20556209.4
2024-08-23,002826,易明医药,7.88,7.7,20799533.0
2024-08-24,002826,易明医药,,,
2024-08-25,002826,易明医药,,,
2024-08-26,002826,易明医药,7.7,7.88,20375851.0
2024-08-27,002826,易明医药,7.88,7.91,23616823.0
2024-08-28,002826,易明医药,7.88,8.03,23962355.0
2024-08-29,002826,易明医药,8.0,8.06,23594083.0
2024-08-30,002826,易明医药,8.08,8.24,30766616.0
2024-08-31,002826,易明医药,,,
2024-09-01,002826,易明医药,,,
2024-09-02,002826,易明医药,8.21,8.08,25186457.0
2024-09-03,002826,易明医药,8.2,8.05,22702485.0
2024-09-04,002826,易明医药,8.0,7.95,21295103.0
2024-09-05,002826,易明医药,7.96,8.21,27855188.0
2024-09-06,002826,易明医药,8.18,8.06,24030645.0
2024-09-07,002826,易明医药,,,
2024-09-08,002826,易明医药,,,
2024-09-09,002826,易明医药,8.01,8.1,22282358.0
2024-09-10,002826,易明医药,8.12,8.09,21249699.0
2024-09-11,002826,易明医药,8.03,7.99,17631865.0
2024-09-12,002826,易明医药,8.02,7.95,15208091.0
2024-09-13,002826,易明医药,7.95,7.81,17399985.0
2024-09-14,002826,易明医药,,,
2024-09-15,002826,易明医药,,,
2024-09-16,002826,易明医药,,,
2024-09-17,002826,易明医药,,,
2024-09-18,002826,易明医药,7.81,7.57,24262988.0
2024-09-19,002826,易明医药,7.66,7.85,24577217.0
2024-09-20,002826,易明医药,7.84,7.66,21784699.0
2024-09-21,002826,易明医药,,,
2024-09-22,002826,易明医药,,,
2024-09-23,002826,易明医药,7.62,7.73,14607692.0
2024-09-24,002826,易明医药,7.81,7.92,24170150.0
2024-09-25,002826,易明医药,8.0,8.08,32300446.0
2024-09-26,002826,易明医药,8.05,8.24,28555119.0
2024-09-27,002826,易明医药,8.32,8.51,52246266.12
2024-09-28,002826,易明医药,,,
2024-09-29,002826,易明医药,,,
2024-09-30,002826,易明医药,8.8,9.17,99304128.74
2024-10-01,002826,易明医药,,,
2024-10-02,002826,易明医药,,,
2024-10-03,002826,易明医药,,,
2024-10-04,002826,易明医药,,,
2024-10-05,002826,易明医药,,,
2024-10-06,002826,易明医药,,,
2024-10-07,002826,易明医药,,,
2024-10-08,002826,易明医药,10.04,9.66,147325463.5
2024-10-09,002826,易明医药,9.59,8.72,103770869.72
2024-10-10,002826,易明医药,8.72,8.9,58679101.0
2024-10-11,002826,易明医药,8.9,8.69,48359340.0
2024-10-12,002826,易明医药,,,
2024-10-13,002826,易明医药,,,
2024-10-14,002826,易明医药,8.72,8.97,45080079.0
2024-10-15,002826,易明医药,8.98,8.81,29439000.0
2024-10-16,002826,易明医药,8.74,9.02,52795431.08
2024-10-17,002826,易明医药,9.06,8.9,49841905.0
2024-10-18,002826,易明医药,8.84,9.0,55187615.75
2024-10-19,002826,易明医药,,,
2024-10-20,002826,易明医药,,,
2024-10-21,002826,易明医药,9.04,9.11,63724560.45
2024-10-22,002826,易明医药,9.11,9.4,74753825.12
2024-10-23,002826,易明医药,9.39,9.31,58107495.0
2024-10-24,002826,易明医药,9.26,9.36,45811172.0
2024-10-25,002826,易明医药,9.35,9.55,77749166.0
2024-10-26,002826,易明医药,,,
2024-10-27,002826,易明医药,,,
2024-10-28,002826,易明医药,9.57,10.28,133583270.58
2024-10-29,002826,易明医药,10.18,9.81,112972407.5
2024-10-30,002826,易明医药,9.75,9.57,65708924.3
2024-10-31,002826,易明医药,9.64,9.79,78608336.46
2024-11-01,002826,易明医药,9.79,9.21,74164472.12
2024-11-02,002826,易明医药,,,
2024-11-03,002826,易明医药,,,
2024-11-04,002826,易明医药,9.33,9.43,51326500.0
2024-11-05,002826,易明医药,9.46,9.67,61254897.94
2024-11-06,002826,易明医药,9.68,9.78,69701407.0
2024-11-07,002826,易明医药,9.74,10.32,100304499.7
2024-11-08,002826,易明医药,10.35,11.35,134889110.55
2024-11-09,002826,易明医药,,,
2024-11-10,002826,易明医药,,,
2024-11-11,002826,易明医药,11.25,11.5,278472026.71
2024-11-12,002826,易明医药,11.42,11.64,215957369.5
2024-11-13,002826,易明医药,11.52,11.35,131896159.0
2024-11-14,002826,易明医药,11.36,11.06,89487229.25
2024-11-15,002826,易明医药,11.06,10.83,73755548.0
2024-11-16,002826,易明医药,,,
2024-11-17,002826,易明医药,,,
2024-11-18,002826,易明医药,10.95,10.45,64321287.0
2024-11-19,002826,易明医药,10.45,10.62,51767101.05
2024-11-20,002826,易明医药,10.59,11.02,69471963.0
2024-11-21,002826,易明医药,11.04,11.26,65062223.2
2024-11-22,002826,易明医药,11.17,11.05,65083001.0
2024-11-23,002826,易明医药,,,
2024-11-24,002826,易明医药,,,
2024-11-25,002826,易明医药,11.15,11.47,85564906.0
2024-11-26,002826,易明医药,11.57,12.18,280286959.49
2024-11-27,002826,易明医药,11.91,11.7,162622989.0
2024-11-28,002826,易明医药,11.7,11.79,77153064.2
2024-11-29,002826,易明医药,11.71,11.63,61371305.0
2024-11-30,002826,易明医药,,,
2024-12-01,002826,易明医药,,,
2024-12-02,002826,易明医药,11.61,11.72,40812250.0
2024-12-03,002826,易明医药,11.76,12.02,79721760.0
