代码,简称,月份,平均开盘价(元),平均收盘价(元),总成交金额(元)
2826,易明医药,2024-06,8.13,8.06,594026963.77
2826,易明医药,2024-07,7.98,7.99,700146335.34
2826,易明医药,2024-08,8.28,8.29,807696075.45
2826,易明医药,2024-09,8.03,8.05,536650581.86
2826,易明医药,2024-10,9.27,9.27,1301497962.46
2826,易明医药,2024-11,10.82,10.92,2263914018.71
2826,易明医药,2024-12,11.92,11.83,2448131244.45
2826,易明医药,2025-01,10.52,10.52,878297762.42
2826,易明医药,2025-02,11.0,10.94,929907647.09
2826,易明医药,2025-03,10.76,10.78,1129564682.18
2826,易明医药,2025-04,10.35,10.36,949131299.48
2826,易明医药,2025-05,11.55,11.64,2170306417.58
